dwd_wh_dsc_outbound_line_dtl_di.wms_company_id,dwd_wh_dsc_outbound_line_dtl_di.wms_company_name,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_id,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_name,dwd_wh_dsc_outbound_line_dtl_di.sku_code,dwd_wh_dsc_outbound_line_dtl_di.sku_name,dwd_wh_dsc_outbound_line_dtl_di.sku_desc,dwd_wh_dsc_outbound_line_dtl_di.sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.batch_number,dwd_wh_dsc_outbound_line_dtl_di.serial_number,dwd_wh_dsc_outbound_line_dtl_di.vendor_sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.order_id,dwd_wh_dsc_outbound_line_dtl_di.order_line,dwd_wh_dsc_outbound_line_dtl_di.order_status,dwd_wh_dsc_outbound_line_dtl_di.order_type,dwd_wh_dsc_outbound_line_dtl_di.launch_number,dwd_wh_dsc_outbound_line_dtl_di.pick_no,dwd_wh_dsc_outbound_line_dtl_di.pick_create_date,dwd_wh_dsc_outbound_line_dtl_di.required_ship_date,dwd_wh_dsc_outbound_line_dtl_di.inventory_status,dwd_wh_dsc_outbound_line_dtl_di.original_order_qty,dwd_wh_dsc_outbound_line_dtl_di.allocated_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.quantity_um,dwd_wh_dsc_outbound_line_dtl_di.volume_um,dwd_wh_dsc_outbound_line_dtl_di.weight_um,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.priority,dwd_wh_dsc_outbound_line_dtl_di.closed_date,dwd_wh_dsc_outbound_line_dtl_di.create_date,dwd_wh_dsc_outbound_line_dtl_di.last_modified_date,dwd_wh_dsc_outbound_line_dtl_di.src_inc_day,dwd_wh_dsc_outbound_line_dtl_di.data_source,dwd_wh_dsc_outbound_line_dtl_di.shipment_id,dwd_wh_dsc_outbound_line_dtl_di.inc_day,dwd_wh_dsc_outbound_line_dtl_di.src
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022432,463679,900.0,null,153080,null,null,2021-06-09 00:00:00,null,240.0,null,240.0,0.0,3576.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:48:42,2021-06-11 08:46:09,20210803,scale_jiq,83565,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022396,463680,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:50:05,2021-06-11 08:46:10,20210803,scale_jiq,83566,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022436,463681,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:25,2021-06-09 09:52:03,2021-06-11 08:46:11,20210803,scale_jiq,83567,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022465,463682,900.0,null,153080,null,null,2021-06-09 00:00:00,null,684.0,null,684.0,0.0,10191.6,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:53:39,2021-06-11 08:46:12,20210803,scale_jiq,83568,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022437,463683,900.0,null,153080,null,null,2021-06-09 00:00:00,null,2400.0,null,2400.0,0.0,35760.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:56:06,2021-06-11 08:46:13,20210803,scale_jiq,83569,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022387,463684,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:58:26,2021-06-11 08:46:14,20210803,scale_jiq,83570,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022495,463685,900.0,null,153080,null,null,2021-06-09 00:00:00,null,240.0,null,240.0,0.0,3576.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 10:00:20,2021-06-11 08:46:15,20210803,scale_jiq,83571,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022498,463686,900.0,null,153080,null,null,2021-06-09 00:00:00,null,60.0,null,60.0,0.0,894.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 10:02:02,2021-06-11 08:46:23,20210803,scale_jiq,83572,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022429,463687,900.0,null,153080,null,null,2021-06-09 00:00:00,null,120.0,null,120.0,0.0,1788.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 10:03:56,2021-06-11 08:46:24,20210803,scale_jiq,83573,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022430,463688,900.0,null,153080,null,null,2021-06-09 00:00:00,null,240.0,null,240.0,0.0,3576.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 10:05:31,2021-06-11 08:46:25,20210803,scale_jiq,83574,20210611,scale
