wms_company_id,sku_code,order_id,shipment_id,order_line,original_order_qty,shipped_qty,create_date,closed_date
Michelin,428635_101,3919707,178764.0,1149252.0,420.0,420.0,2021-06-11 09:31:04,2021-06-13 18:38:30
Michelin,428635_101,3919712,178768.0,1149267.0,420.0,420.0,2021-06-11 09:31:05,2021-06-13 18:38:30
Michelin,439132_101,3919771,178800.0,1149305.0,405.0,405.0,2021-06-11 09:36:01,2021-06-13 14:09:48
Michelin,439132_101,3919777,178801.0,1149306.0,405.0,405.0,2021-06-11 09:36:01,2021-06-13 14:09:48
Michelin,950403_106,3923725,179000.0,1151195.0,2112.0,2112.0,2021-06-12 16:11:01,2021-06-13 03:26:29
Michelin,950403_106,3923809,179007.0,1151260.0,1760.0,1760.0,2021-06-13 02:16:01,2021-06-13 16:29:22
Michelin,409427_106,CTSC21061301,179006.0,1151259.0,28.0,28.0,2021-06-13 00:51:00,2021-06-13 18:38:22
Michelin,095259_105,CTSC21061301,179006.0,1151258.0,56.0,56.0,2021-06-13 00:51:00,2021-06-13 18:38:22
Michelin,370807_107,CTSC21061301,179006.0,1151257.0,58.0,58.0,2021-06-13 00:51:00,2021-06-13 18:38:22
Michelin,215487_110,CTSC21061301,179006.0,1151256.0,27.0,27.0,2021-06-13 00:51:00,2021-06-13 18:38:22
Michelin,503105_108,CTSC21061301,179006.0,1151255.0,100.0,100.0,2021-06-13 00:51:00,2021-06-13 18:38:22
Michelin,495612_124,3917989,178589.0,1148398.0,550.0,550.0,2021-06-11 02:31:02,2021-06-14 15:31:15
Michelin,389858_111,3923855,179008.0,1151261.0,210.0,210.0,2021-06-13 03:51:01,2021-06-14 16:25:16
Michelin,825202_109,3918403,178668.0,1148545.0,36.0,36.0,2021-06-11 05:51:03,2021-06-15 10:40:00
Michelin,428635_101,3919716,178765.0,1149253.0,420.0,420.0,2021-06-11 09:31:04,2021-06-15 12:21:00
Michelin,428635_101,3919720,178770.0,1149269.0,420.0,420.0,2021-06-11 09:31:06,2021-06-15 12:21:01
Michelin,439132_101,3919783,178802.0,1149307.0,405.0,405.0,2021-06-11 09:36:01,2021-06-15 10:40:00
Michelin,950403_106,3928197,179307.0,1152114.0,1760.0,1760.0,2021-06-15 05:26:01,2021-06-15 15:38:48
Michelin,892524_115,5400001571,179300.0,1152100.0,14.0,14.0,2021-06-15 05:16:01,2021-06-15 13:33:07
Michelin,495612_124,3917990,178590.0,1148399.0,550.0,550.0,2021-06-11 02:31:03,2021-06-16 13:09:06
Michelin,495612_124,3917991,178591.0,1148400.0,550.0,550.0,2021-06-11 02:36:01,2021-06-16 13:09:07
Michelin,955962_119,3917992,178592.0,1148401.0,200.0,200.0,2021-06-11 02:36:01,2021-06-16 13:01:38
Michelin,485685_108,3919408,178756.0,1149182.0,1008.0,1008.0,2021-06-11 09:01:04,2021-06-16 22:03:10
Michelin,428635_101,3919730,178769.0,1149268.0,420.0,420.0,2021-06-11 09:31:06,2021-06-16 19:38:00
Michelin,428635_101,3919733,178773.0,1149272.0,420.0,420.0,2021-06-11 09:31:06,2021-06-16 19:38:00
Michelin,439132_101,3919790,178803.0,1149308.0,405.0,405.0,2021-06-11 09:36:01,2021-06-16 13:06:56
