wms_company_id,sku_code,asn_id,original_qty,receive_qty,create_time,closed_date,asn_line_id,inc_day
Pernod,3807,YMLUN800088932,17280,6480,2021/6/8 3:17,2021/6/10 16:33,249140,20210610
Pernod,3807,YMLUN800088932,8640,6480,2021/6/8 3:17,2021/6/10 16:33,249173,20210610
Pernod,3807,YMLUN800088932,2880,2880,2021/6/8 3:17,2021/6/10 16:33,249174,20210610
Pernod,3807,YMLUN800088932,1440,1440,2021/6/8 3:17,2021/6/10 16:33,249175,20210610
Pernod,5797,YMLUN800088933,720,720,2021/6/8 2:52,2021/6/10 16:33,249113,20210610
Pernod,5797,YMLUN800088933,10080,8640,2021/6/8 2:52,2021/6/10 16:33,249117,20210610
Pernod,5797,YMLUN800088933,3600,5040,2021/6/8 2:52,2021/6/10 16:33,249116,20210610
Pernod,5797,YMLUN800088933,720,720,2021/6/8 2:52,2021/6/10 16:33,249115,20210610
Pernod,5797,YMLUN800088933,720,720,2021/6/8 2:52,2021/6/10 16:33,249114,20210610
Pernod,WA0X50,GDY0242857,13776,12432,2021/6/9 7:29,2021/6/11 11:05,249156,20210611
Pernod,WA0X50,GDY0242857,1344,1344,2021/6/9 7:29,2021/6/11 11:05,249180,20210611
Pernod,7707,ONEYLEHB07628500,9240,9240,2021/6/8 3:20,2021/6/11 11:05,249143,20210611
Pernod,8327,ONEYLEHB07628500,429,429,2021/6/8 3:20,2021/6/11 11:05,249142,20210611
Pernod,8327,ONEYLEHB07628500,40,40,2021/6/8 3:20,2021/6/11 11:05,249144,20210611
Pernod,5602,OOLU2663766790,26460,17640,2021/6/9 7:28,2021/6/11 11:05,249155,20210611
Pernod,5602,OOLU2663766790,8820,8820,2021/6/9 7:28,2021/6/11 11:05,249179,20210611
Pernod,3603,YMLUN800088931,13440,6720,2021/6/10 8:23,2021/6/11 8:36,249171,20210611
Pernod,4652,YMLUN800088931,756,756,2021/6/10 8:23,2021/6/11 8:36,249170,20210611
Pernod,9627,YMLUN800088931,420,420,2021/6/10 8:23,2021/6/11 8:36,249176,20210611
Pernod,3603,YMLUN800088931,4032,4032,2021/6/10 8:23,2021/6/11 8:36,249177,20210611
Pernod,3603,YMLUN800088931,2688,2688,2021/6/10 8:23,2021/6/11 8:36,249178,20210611
Pernod,9627,YMLUN800088931,2100,1680,2021/6/10 8:23,2021/6/11 8:36,249169,20210611
Pernod,3692,YMLUN800088931,2772,2772,2021/6/10 8:23,2021/6/11 8:36,249168,20210611
Pernod,3692,YMLUN800088931,2772,2772,2021/6/10 8:23,2021/6/11 8:36,249172,20210611
